question,ground_truth
"¿Qué documentos mencionan el RGPD?","Ley 3/2018, RGPD, Ley 15/1999, Ley Orgánica 15/1999"
"¿Qué artículos están relacionados con el RGPD en la Ley 3/2018?","Artículo 1, Artículo 2, Artículo 12"
"¿Qué documentos mencionan la Ley Orgánica 15/1999?","Ley Orgánica 15/1999, RGPD"
"¿Cuáles son los principios fundamentales del RGPD?","Transparencia, Consentimiento, Seguridad, Derecho de acceso"
"¿Qué autoridades están encargadas de supervisar el cumplimiento del RGPD?","AEPD, CNIL, ICO"
"¿Qué artículos tratan sobre protección de datos en el ámbito digital?","Artículo 32, Artículo 20"
"¿Qué documentos mencionan la Ley Orgánica 3/2018?","Ley Orgánica 3/2018, RGPD"
"¿Qué documentos afectan a la protección de datos en el ámbito digital?","RGPD, Ley Orgánica 15/1999"
"¿Qué artículos de la Ley 3/2018 son clave para la protección de datos?","Artículo 5, Artículo 7"
"¿Qué documentos tratan sobre consentimiento informado en el RGPD?","Artículo 6, Artículo 7"
"¿Qué artículos mencionan la Ley Orgánica 3/2018?","Artículo 1, Artículo 2"
"¿Cuándo fue aprobada la Ley 3/2018?","5 de diciembre de 2018"
"¿Qué documentos tratan sobre la protección de datos personales?","Ley 3/2018, RGPD"
"¿Qué autoridad supervisa la implementación del RGPD en España?","AEPD"
"¿Cuáles son los principios del Derecho a la Protección de Datos en la Ley 3/2018?","Licitud, Lealtad, Transparencia"
"¿Qué leyes modificaron la Ley Orgánica 15/1999?","Ley 3/2018, Ley 25/2021"
"¿Qué artículos del RGPD tratan sobre los derechos de los usuarios?","Artículo 15, Artículo 16, Artículo 17"
"¿Qué documentos mencionan el consentimiento para el tratamiento de datos?","Ley 3/2018, RGPD"
"¿Cuándo entró en vigor el RGPD?","25 de mayo de 2018"
"¿Qué autoridades internacionales velan por la protección de datos?","CNIL, ICO, AEPD"
"¿Qué artículo regula la protección de datos en el ámbito sanitario?","Artículo 9 RGPD"
"¿Qué documentos modifican el RGPD?","Ley 3/2018, Ley 25/2021"
"¿Qué derechos otorga el RGPD a los ciudadanos?","Derecho de acceso, Derecho al olvido, Derecho de rectificación"
"¿Qué documentos mencionan la Ley Orgánica 15/1999 sobre protección de datos?","Ley Orgánica 15/1999, RGPD"
"¿Cuáles son los requisitos para el consentimiento en el RGPD?","Debe ser libre, específico, informado y explícito"
"¿Qué documentos afectan a la privacidad de los datos?","Ley Orgánica 3/2018, RGPD"
"¿Qué artículo de la Ley 3/2018 habla sobre los derechos de los interesados?","Artículo 9"
"¿Qué autoridades tienen poder para sancionar las infracciones del RGPD?","AEPD, CNIL"
"¿Qué documentos mencionan la transparencia en el tratamiento de datos?","RGPD, Ley 3/2018"
"¿Qué artículos del RGPD se refieren a la transferencia de datos fuera de la UE?","Artículo 44, Artículo 45"
"¿Qué documentos mencionan el derecho a la portabilidad de los datos?","RGPD, Ley 3/2018"
"¿Cuáles son los requisitos del RGPD para el consentimiento explícito?","Debe ser dado de forma afirmativa, con acción clara"
"¿Qué artículos del RGPD mencionan las medidas de seguridad?","Artículo 32"
"¿Qué documentos tratan sobre la seguridad de los datos?","RGPD, Ley 3/2018"
"¿Qué derechos tienen los interesados según el RGPD?","Derecho de acceso, Derecho de rectificación, Derecho al olvido"
"¿Qué documentos mencionan la protección de datos en el ámbito laboral?","Ley 3/2018, RGPD"
"¿Qué autoridad supervisa el cumplimiento del RGPD en el Reino Unido?","ICO"
"¿Qué artículos de la Ley Orgánica 3/2018 tratan sobre el consentimiento?","Artículo 6, Artículo 8"
"¿Cuáles son las sanciones por infringir el RGPD?","Multas, sanciones administrativas"
"¿Qué documentos modifican la Ley Orgánica 15/1999?","Ley 3/2018"
"¿Qué leyes afectan la protección de datos personales en España?","Ley 3/2018, RGPD"
"¿Qué autoridades supervisan el cumplimiento de la protección de datos en la UE?","EDPS"
"¿Qué documentos mencionan los derechos de acceso a los datos?","RGPD, Ley 3/2018"
"¿Qué artículos de la Ley 3/2018 afectan a la privacidad de los datos?","Artículo 6, Artículo 7"
"¿Cuáles son las obligaciones de los responsables del tratamiento según el RGPD?","Responsabilidad, transparencia, medidas de seguridad"
